name,year,rating,votes,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller,Cluster,time_period
Rainbow Six 3: Raven Shield,2003,7.9,332.0,True,False,False,True,False,False,False,False,True,5,2000
Metal Gear Solid: Digital Graphic Novel,2006,8.0,119.0,True,False,False,False,False,False,False,False,True,5,2000
Time Crisis 5,2015,6.8,19.0,True,True,False,False,False,False,False,False,True,5,2010
Act of War: Direct Action,2005,8.3,64.0,True,False,False,False,False,False,False,False,True,5,2000
Resistance: Burning Skies,2012,6.9,67.0,True,False,False,False,False,False,False,True,True,5,2010
Live and Let Die: The Computer Game,1988,7.3,47.0,True,True,False,False,False,False,False,False,True,5,1980
Smash TV,1990,7.1,94.0,True,False,False,False,False,False,False,True,True,5,1980
MindJack,2011,1.8,45.0,True,False,False,False,False,False,False,True,True,5,2010
Mission: Impossible,1998,6.9,190.0,True,True,False,False,False,False,False,False,True,5,1990
Ring of Elysium,2018,7.6,28.0,True,False,False,False,False,False,False,False,True,5,2010
S.W.A.T.3,1999,7.7,129.0,True,False,False,True,False,False,False,False,True,5,1990
James Bond 007: The Duel,1993,5.7,59.0,True,True,False,False,False,False,False,False,True,5,1990
T.R.A.G.: Tactical Rescue Assault Group,1998,8.3,11.0,True,False,False,False,False,False,True,False,True,5,1990
Mafia II: Jimmy's Vendetta,2010,6.8,20.0,True,False,False,False,False,False,False,False,True,5,2000
Iron Brigade,2011,5.9,33.0,True,False,False,False,False,False,False,True,True,5,2010
Rainbow Six: Lockdown,2005,6.0,183.0,True,False,False,True,False,False,False,False,True,5,2000
Keep Talking and Nobody Explodes,2015,7.4,47.0,True,True,False,False,False,False,False,False,True,5,2010
Infectonator: Survivors,2016,7.5,13.0,True,False,False,False,False,False,False,False,True,5,2010
Disaster: Day of Crisis,2008,7.9,41.0,True,True,False,False,False,False,False,False,True,5,2000
Young Indiana Jones and the Instruments of Chaos,1994,5.4,34.0,True,True,False,False,False,False,False,False,True,5,1990
Silent Scope,2000,6.4,45.0,True,True,False,False,False,False,False,False,True,5,1990
Renegade Ops,2011,6.5,39.0,True,False,False,False,False,False,True,False,True,5,2010
Ghost Recon: Island Thunder,2002,7.9,104.0,True,False,False,False,False,False,False,False,True,5,2000
Driven,2001,4.6,37.0,True,False,False,False,False,False,False,False,True,5,2000
Ghost Recon: Desert Siege,2002,6.2,11.0,True,False,False,False,False,False,False,False,True,5,2000
Sniper Elite: Nazi Zombie Army 2,2013,7.1,29.0,True,False,False,False,False,False,False,False,True,5,2010
Rainbow Six: Critical Hour,2006,5.3,35.0,True,False,False,True,False,False,False,False,True,5,2000
Police Quest: SWAT 2,1998,7.1,29.0,True,False,False,True,False,False,False,False,True,5,1990
Rainbow Six 3: Black Arrow,2004,7.0,70.0,True,False,False,True,False,False,False,False,True,5,2000
Extreme Assault,1997,7.1,23.0,True,False,False,False,False,False,False,True,True,5,1990
Rainbow Six: Shadow Vanguard,2011,6.8,11.0,True,False,False,True,False,False,False,False,True,5,2010
Syndicate Wars,1996,6.5,12.0,True,False,False,False,False,False,False,True,True,5,1990
Vampire Rain,2007,4.0,18.0,True,False,False,False,False,False,False,False,True,5,2000
Depth,2014,6.4,9.0,True,False,False,False,False,False,False,False,True,5,2010
Dead to Rights: Reckoning,2005,6.8,11.0,True,False,False,True,False,False,False,False,True,5,2000
Operation: Tango,2021,6.8,18.0,True,False,False,False,False,False,False,False,True,5,
Spy Fiction,2004,6.9,29.0,True,True,False,False,False,False,False,False,True,5,2000
Raiden III,2005,7.0,25.0,True,False,False,False,False,False,False,True,True,5,2000
Shadow Watch,2000,7.8,11.0,True,False,False,False,False,False,False,False,True,5,1990
Ghost Recon: Shadow Wars,2011,5.9,21.0,True,False,False,False,False,False,False,False,True,5,2010
Ghost Recon: Phantoms,2014,5.9,25.0,True,False,False,False,False,False,False,True,True,5,2010
Shark Jaws,1975,6.3,24.0,True,False,False,False,False,False,False,False,True,5,1970
Syndicate Plus,1996,7.4,12.0,True,False,False,False,False,False,False,True,True,5,1990
Ghost Recon 2: Summit Strike,2005,7.0,50.0,True,False,False,False,False,False,False,False,True,5,2000
Battalion Wars 2,2007,7.2,14.0,True,False,False,False,True,False,False,False,True,5,2000
Blackthorne,1994,8.0,80.0,True,False,False,False,False,True,False,False,True,5,1990
The Flame in the Flood,2016,6.7,46.0,True,True,False,False,False,False,False,False,True,5,2010
Rainbow Six: Rogue Spear - Black Thorn,2001,7.2,28.0,True,False,False,True,False,False,False,False,True,5,2000
Code Name: Viper,1989,7.2,20.0,True,True,False,False,False,False,False,False,True,5,1980
Twelve Minutes,2021,7.0,890.0,False,True,False,False,False,False,True,False,True,5,
Dead by Daylight,2016,7.3,1247.0,False,True,False,False,False,False,False,False,True,5,2010
Danganronpa 2: Goodbye Despair,2012,8.6,699.0,False,True,False,False,False,False,True,False,True,5,2010
Erica,2019,6.9,1031.0,False,True,False,False,False,False,False,False,True,5,2010
Lost: Via Domus,2008,6.2,634.0,False,True,False,False,False,False,True,False,True,5,2000
SCP: Containment Breach,2017,7.3,108.0,False,True,False,False,False,False,False,False,True,5,2010
The Sexy Brutale,2017,7.7,63.0,False,True,False,False,False,False,True,False,True,5,2010
I Am Alive,2012,6.8,417.0,False,True,False,False,False,False,False,False,True,5,2010
The Park,2015,6.4,110.0,False,True,False,False,False,False,True,False,True,5,2010
Happy's Humble Burger Farm,2021,8.2,13.0,False,True,False,False,False,False,False,False,True,5,
LSD: Dream Emulator,1998,7.9,19.0,False,True,False,False,False,False,False,False,True,5,1990
Wilson's Heart,2017,6.9,24.0,False,True,False,False,False,False,True,False,True,5,2010
Transference,2018,6.6,41.0,False,True,False,False,False,False,False,False,True,5,2010
101 Dalmatians: Escape from DeVil Manor,1997,6.8,52.0,False,True,False,False,True,False,False,False,True,5,1990
Majestic,2001,8.7,19.0,False,True,False,False,False,False,False,False,True,5,2000
The Witch's House,2012,8.0,25.0,False,True,False,False,False,False,False,False,True,5,2010
Imscared - A Pixelated Nightmare,2016,8.9,14.0,False,True,False,False,False,False,False,False,True,5,2010
"Invisible, Inc.",2015,6.6,47.0,False,True,False,False,False,False,False,True,True,5,2010
The Moment of Silence,2004,7.3,110.0,False,True,False,False,False,False,False,True,True,5,2000
Legion: The Legend of Excalibur,2002,6.2,6.0,False,True,False,False,False,True,False,False,True,5,2000
Missing: An Interactive Thriller,2014,6.4,6.0,False,True,False,False,False,False,True,False,True,5,2010
Codename: Iceman,1989,7.3,29.0,False,True,False,False,False,False,False,False,True,5,1980
Super Deform Snatcher,1990,6.4,29.0,False,True,False,False,False,False,False,True,True,5,1980
Fatal Frame. View in the Dark,2015,7.9,33.0,False,True,False,False,False,False,False,False,True,5,2010
Escape Rosecliff Island,2009,6.0,9.0,False,True,False,False,False,False,True,False,True,5,2000
